english_name,korean_name,image_url
Jhin,진,https://cdn.discordapp.com/attachments/1380885275382648914/1380931406414483496/Jhin.png?ex=6845ac17&is=68445a97&hm=f2ccf58830ef67e9e16794155300aef342fa847e0e8584f9caef5e78c45189a5&
Jinx,징크스,https://cdn.discordapp.com/attachments/1380885275382648914/1380931406640709843/Jinx.png?ex=6845ac17&is=68445a97&hm=4c9ba24509af7f2b4aafcb9ff29676567fb2ff5c1db96a6c062db839511a2d86&
K_Sante,크산테,https://cdn.discordapp.com/attachments/1380885275382648914/1380931406858948638/K_Sante.png?ex=6845ac17&is=68445a97&hm=13021d559b66d46e0233d842e6841412b1fac55772c8399cc19612ec2389e9bd&
Kai_Sa,카이사,https://cdn.discordapp.com/attachments/1380885275382648914/1380931407186235453/Kai_Sa.png?ex=6845ac17&is=68445a97&hm=9127b6b1a61ff5c41e7269822889376f4ec787dd1399ade0eaa62602221c15f7&
Kalista,칼리스타,https://cdn.discordapp.com/attachments/1380885275382648914/1380931407429238886/Kalista.png?ex=6845ac17&is=68445a97&hm=13018af48bcdb32062e0936df6f0729342b02f63a6bb043de5a3b072db9826f9&
Karma,카르마,https://cdn.discordapp.com/attachments/1380885275382648914/1380931407681032242/Karma.png?ex=6845ac18&is=68445a98&hm=58025017bd3ad6dd7cdf66fd5fb2a5196f264ad460fedd11878cd6bf74d68299&
Karthus,카서스,https://cdn.discordapp.com/attachments/1380885275382648914/1380931405504188436/Karthus.png?ex=6845ac17&is=68445a97&hm=9c238e0d1f404b35b36a01d5cdfd008668b8cafa89af6bf9e6e8a92e4ffd1a73&
Kassadin,카사딘,https://cdn.discordapp.com/attachments/1380885275382648914/1380931603080941598/Kassadin.png?ex=6845ac46&is=68445ac6&hm=92d6c761f898dde14885ce373d3d3514931623a52ab27197ef2256b8b6f5a850&
Katarina,카타리나,https://cdn.discordapp.com/attachments/1380885275382648914/1380931603303366766/Katarina.png?ex=6845ac46&is=68445ac6&hm=81485807797dad5a297a06b7ef1343c7d5bec0adbe72b36662c7ee41cb780fe8&
Kayle,케일,https://cdn.discordapp.com/attachments/1380885275382648914/1380931603739709580/Kayle.png?ex=6845ac46&is=68445ac6&hm=0d0d532a33ebc64fc4e7ff792848bd5d067fcd54aa7752eecc6837de66d6e01b&
Kayn,케인,https://cdn.discordapp.com/attachments/1380885275382648914/1380931604054278246/Kayn.png?ex=6845ac46&is=68445ac6&hm=43dab158ca370377e29311c91779f963a8bcf9f30aa82683b7bdca0200efe2cb&
Kennen,케넨,https://cdn.discordapp.com/attachments/1380885275382648914/1380931604360204479/Kennen.png?ex=6845ac46&is=68445ac6&hm=667733805081f1f493adb17c468e1d685633b8a4370395e3cd7e826c4ea5f72b&
Kha_Zix,카직스,https://cdn.discordapp.com/attachments/1380885275382648914/1380931604620382218/Kha_Zix.png?ex=6845ac47&is=68445ac7&hm=6e071945bac965642b01383ae32c4d88802d72e95ca8f3a28def03d3d6eabee1&
Kindred,킨드레드,https://cdn.discordapp.com/attachments/1380885275382648914/1380931604943208478/Kindred.png?ex=6845ac47&is=68445ac7&hm=c7ddcdb7ab75038c0a53d5dfb6bf3ebe2cf5f3cb5188e8c8298427301bc0013b&
Kled,클레드,https://cdn.discordapp.com/attachments/1380885275382648914/1380931605186744320/Kled.png?ex=6845ac47&is=68445ac7&hm=7e66520446a123c140b250a6980615841c3ad7a777e576d55335007771cb2c12&
Kog_Maw,코그모,https://cdn.discordapp.com/attachments/1380885275382648914/1380931605442465823/Kog_Maw.png?ex=6845ac47&is=68445ac7&hm=31b12c19a9cb924d3bcdea46314d79632560b7c9d4bdb5db180582dc706a2840&
LeBlanc,르블랑,https://cdn.discordapp.com/attachments/1380885275382648914/1380931602867028088/LeBlanc.png?ex=6845ac46&is=68445ac6&hm=29df15f5a401642ca11bbb63588b27f22a027645215d6984367310065868bf98&
Lee_Sin,리신,https://cdn.discordapp.com/attachments/1380885275382648914/1380931764326895648/Lee_Sin.png?ex=6845ac6d&is=68445aed&hm=4572a2a7f6506d908ff9fbdad17156ddcfad7fb2697205c24115a86c00fd17b5&
Leona,레오나,https://cdn.discordapp.com/attachments/1380885275382648914/1380931764670697623/Leona.png?ex=6845ac6d&is=68445aed&hm=161098da6193be6844c2a533b2cd1a9768a83ad285230b51fa2ae6cfb8705e61&
Lillia,릴리아,https://cdn.discordapp.com/attachments/1380885275382648914/1380931765128134788/Lillia.png?ex=6845ac6d&is=68445aed&hm=26e8b9587aecfeff9e1fa195cbbec30afcb08ea3bc0105a66e1f159b03ab7c94&
